writer,num_articles,gender,last_url
Carly Ledbetter,8,female,https://www.huffingtonpost.com.au/2019/02/05/brooklyn-decker-says-having-children-sucked-the-life-out-of-my-body_a_23662484/?utm_hp_ref=au-homepage
Amy Russo,3,female,https://www.huffingtonpost.com/entry/dhs-secretary-migrant-child-death-response_us_5c13de2ce4b05d7e5d81b44f
Cole Delbyck,18,male,https://www.huffingtonpost.com.au/entry/how-chella-man-became-his-own-superhero_au_5d00f13de4b0e7e781706be9?ncid=other_topnaventr_coabgdcpxri&utm_campaign=topnav
David Lohr,1,male,https://www.huffingtonpost.com.au/2019/01/23/dna-just-led-to-a-major-break-in-a-murder-case-thats-stumped-police-for-27-years_a_23651149/?ncid=other_topnaventr_coabgdcpxri&utm_campaign=topnav
Jessica Luther,1,female,https://www.huffingtonpost.com/entry/opinion-reuben-foster-elissa-ennis-second-chance_us_5c113433e4b0ac53717b2013
Anna Almendrala,1,female,https://www.theguardian.com/media/2019/feb/27/netflix-root-cause-pulled-root-canals-cancer
Tim Starks,4,male,https://www.politico.com/story/2019/07/08/trump-administration-senators-election-security-1400051
Eric Geller,13,male,https://www.politico.com/story/2019/05/15/trump-trade-congress-1327362
Caitlin Oprysko,227,female,https://www.politico.com/story/2019/07/08/pompeo-panel-unalienable-rights-1400023
Brent D. Griffiths,24,male,https://www.politico.com/story/2019/03/15/bernie-campaign-2020-staff-union-1223914
Rachael Bade,8,female,http://www.latimes.com/politics/la-na-pol-pelosi-not-for-impeachment-democrats-20190311-story.html
Jack Shafer,457,male,https://www.politico.com/magazine/story
Donald P. Moynihan,4,male,http://www.nytimes.com/2019/07/04/opinion/medicare-for-all.html
Andrew Restuccia,51,male,https://www.politico.com/story/2019/06/22/trumps-china-g20-1376558
Doug Palmer,23,male,https://www.politico.com/story/2019/07/09/kudlow-us-may-never-reach-trade-deal-with-china-1574471
Adam Behsudi,22,male,https://www.politico.com/story/2019/06/17/trump-china-tariffs-companies-1532348
Brian Faler,18,male,https://www.politico.com/story/2019/07/02/donald-trump-tax-returns-democrats-lawsuit-1394959
Marianne Levine,89,female,https://www.politico.com/story/2019/07/06/democratic-candidates-trump-judges-1397767
Anthony Adragna,10,male,https://www.politico.com/story/2019/06/05/dnc-opts-against-climate-change-debate-inslee-says-1355867
David M. Herszenhorn,53,male,https://www.politico.eu/article/in-her-own-words-ursula-von-der-leyen-european-commision-president-angela-merkel-cabinet-german-defense-minister/
Charlie Cooper,37,male,https://www.politico.eu/article/jeremy-corbyn-backs-remain-almost-labour-brexit-policy/
Laura Kayali,24,female,https://www.politico.eu/article/max-schrems-facebook-europe-data-protection-privacy/
Paola Tamma,9,female,https://www.politico.eu/article/poland-screeches-over-germanys-move-to-reduce-rail-noise/
Darren Samuelsohn,96,male,https://www.politico.com/story/2019/07/09/congress-read-mueller-report-1402232
Alex Thompson,38,male,https://www.politico.com/story/2019/07/08/warren-rakes-in-19-million-despite-no-fundraisers-1400058
Rebecca Morin,93,female,https://www.politico.com/story/2019/04/15/trump-tiger-woods-medal-of-freedom-1276384
Ben Schreckinger,13,male,https://www.politico.com/video/2019/06/04/private-citizens-take-on-border-security-068216
Martin Matishak,15,male,https://www.politico.com/story/2019/06/23/trump-obliteration-iran-nuclear-weapons-pursuit-1376744
Kyle Cheney,83,male,https://www.politico.com/story/2019/07/01/house-oversight-private-emails-trump-officials-1392109
Nahal Toosi,41,unknown,https://www.politico.eu/article/uk-defends-ambassador-after-disparaging-trump-comments-leak/
Burgess Everett,98,male,https://www.politico.com/story/2019/07/03/republicans-white-house-budget-plan-1398306
Andrew Sparrow,10,male,https://www.theguardian.com/politics/2019/jul/07/what-kim-darroch-is-reported-to-have-said-about-trump
Jessica Elgot,41,female,https://www.theguardian.com/politics/2019/jul/09/bitter-blue-on-blue-as-hunt-and-johnson-clash-on-live-tv
Heather Stewart,28,female,https://www.theguardian.com/politics/2019/jul/02/no-10-confirms-inquiry-into-leak-claims-about-jeremy-corbyns-health-labour-civil-service
Lisa O'Carroll,38,female,https://www.theguardian.com/politics/2019/jul/03/former-brexit-official-karen-wheeler-says-no-deal-plans-must-be-ramped-up
Kim Willsher,61,male,https://www.theguardian.com/media/gallery/2019/jun/15/the-photography-of-john-downing
Angela Giuffrida,62,female,https://www.theguardian.com/world/2019/jun/21/italy-church-singles-matchmaking-event-padua-st-anthonys-basilica
Tom Mccarthy,43,male,https://www.theguardian.com/us-news/2019/jul/09/alexander-acosta-trump-jeffrey-epstein-sex-trafficking-charges
Ben Jacobs,14,male,https://www.theguardian.com/us-news/2019/apr/05/election-2020-america-rising-republican-opposition-research
Erin Durkin,71,male,https://www.politico.com/states/new-york/albany/story/2019/06/28/engels-new-york-seat-becomes-next-justice-democrats-target-1082619
Jon Swaine,28,male,https://www.theguardian.com/us-news/2019/jul/05/joe-biden-kamala-harris-trump-bully
Fiona Harvey,16,female,https://www.theguardian.com/environment/2019/jul/07/one-climate-crisis-disaster-happening-every-week-un-warns
Bethan Mckernan,36,unknown,https://www.theguardian.com/world/2019/jul/06/dubai-princesss-flight-london-diplomatic-crisis-princess-haya-sheikh-mohammed
Richard Partington,18,male,https://www.theguardian.com/politics/2019/jul/06/what-is-a-free-port-all-you-need-to-know-about-free-trade-zones-brexit
Tom Phillips,67,male,https://www.theguardian.com/world/2019/jul/05/brazil-sergio-moro-jair-bolsonaro-justice-minister
Dom Phillips,31,male,https://www.theguardian.com/world/2019/jul/08/moro-lula-leaks-bolosnaro-justice-minister-takes-leave-brazil
Angelique Chrisafis,52,female,https://www.theguardian.com/world/2019/jul/09/saudi-princess-hassa-bint-salman-tried-in-absentia-in-france
Anushka Asthana,1,unknown,https://www.theguardian.com/politics/live/2019/apr/10/brexit-eu-to-decide-on-uk-extension-live-news
Gary Younge,10,male,https://www.theguardian.com/commentisfree/2019/jun/14/response-to-grenfell-windrush
Andrew Roth,43,male,https://www.theguardian.com/world/2019/jul/04/putin-confirms-fire-hit-russian-submarine-was-nuclear-powered
Jeremy Hance,1,male,https://www.theguardian.com/environment/2018/dec/12/how-native-american-tribes-are-bringing-back-the-bison-from-brink-of-extinction
Leyland Cecco,46,unknown,https://www.theguardian.com/world/2019/jun/21/canada-bans-shark-fin-imports-sale
Dan Sabbagh,21,male,https://www.theguardian.com/world/2019/jul/09/uk-and-france-to-send-further-forces-to-syria-in-aid-of-us-withdrawal
Patrick Lum,2,male,https://www.theguardian.com/games/2019/jun/05/devil-may-cry-hideaki-itsuno-interview-action-games
Paul Doyle,26,male,https://www.theguardian.com/football/live/2019/jul/05/uganda-v-senegal-africa-cup-of-nations-live
Michael Butler,8,male,https://www.theguardian.com/sport/live/2019/jul/02/england-v-australia-womens-ashes-first-odi-live-cricket
Sean Ingle,49,male,https://www.theguardian.com/sport/2019/jul/08/the-coco-bubble-pops-at-wimbledon-as-simona-halep-ousts-cori-gauff
Richard Williams,17,male,https://www.theguardian.com/football/2019/jun/24/super-agent-mino-raiola-player-manager-football-deals
Mark Dobson,4,male,https://www.theguardian.com/football/2019/feb/11/football-aaron-ramsey-juventus-arsenal-transfer-highest-paid-gb-player
Andy Hunter,47,male,https://www.theguardian.com/football/2019/jun/20/aaron-wan-bissaka-manchester-united-head-turned-aidy-boothroyd-england-under-21
Mark Sweney,13,male,https://www.theguardian.com/film/2019/jul/05/hollywood-film-franchise-fatigue-drives-down-global-ticket-sales
Molly Scott Cato,3,female,https://www.theguardian.com/commentisfree/2019/may/12/labour-climate-support-green-party-carbon-eu
Afua Hirsch,8,unknown,https://www.theguardian.com/commentisfree/2019/jun/20/british-tourists-empire-hotels-museums
Katy Balls,9,female,https://www.theguardian.com/commentisfree/2019/jul/01/boris-johnson-scotland-tories-union
Hannah Ellis-Petersen,44,female,https://www.theguardian.com/news/2019/jul/10/fascination-endures-one-year-after-the-thai-cave-rescue-wild-boys-tham-luang
Daniel Boffey,97,male,https://www.theguardian.com/world/2019/jul/08/dutch-second-world-war-submarine-wrecks-disappear-from-malaysian-seabed
Rebecca Ratcliffe,20,female,https://www.theguardian.com/global-development/2019/jun/19/more-than-70-million-people-fleeing-conflict-oppression-worldwide
Eleanor Ainge Roy,38,female,https://www.theguardian.com/society/2019/jun/11/grant-robertson-new-zealand-prosperity-growth-wellbeing
Julian Borger,54,male,https://www.theguardian.com/world/2019/jul/01/us-arms-control-office-understaffed-trump
Benjamin Lee,27,male,https://www.theguardian.com/film/2019/jun/20/netflix-streaming-stats-murder-mystery-box-office
Ben Child,13,male,https://www.theguardian.com/film/2019/jun/06/robert-pattinson-the-batman-dc-extended-universe-twilight
Al Horner,6,male,https://www.theguardian.com/music/2019/jul/04/juice-wrld-there-is-just-so-much-trash-in-rap
